factor,variant,horizon,n,mean,std,t,t_nw,pct_pos,ic_for_t2,ci_lo,ci_hi
ret_12_1,raw,21,60,0.019957882942999775,0.19984146471737754,0.7735786802114422,1.0048844256519436,61.66666666666667,0.051598844315473354,-0.02052322042254506,0.06022573130654815
ret_12_1,raw,63,58,0.04087647612639104,0.15451394243384897,2.014743541212369,1.5012952234680401,62.06896551724138,0.04057734921616245,-0.010949667750930805,0.09072388348369227
ret_12_1,neutral,21,60,0.015494943572823348,0.16718583509248802,0.7179036235309019,0.8616793288678043,60.0,0.043167197002332375,-0.022062400316467036,0.05055981208824709
ret_12_1,neutral,63,58,0.03153208212091951,0.128496044470681,1.8688605083340455,1.371522899796323,65.51724137931035,0.0337447144720588,-0.0126105990154349,0.0751023224372428
ret_13w,raw,21,60,-0.004854153297078692,0.18052943376366096,-0.2082768941062052,-0.261801346527351,46.666666666666664,0.04661249936446092,-0.04459504506088035,0.031864872886837904
ret_13w,raw,63,58,-0.0035543419570071354,0.16402731347506,-0.165027770751939,-0.14389291412489205,55.172413793103445,0.04307568284794726,-0.05019062345517294,0.045255892103081695
ret_13w,neutral,21,60,0.004615985370520535,0.14963222157206932,0.2389543412312764,0.2951577952952858,56.666666666666664,0.03863487348030951,-0.027956425165159685,0.03618333109681191
ret_13w,neutral,63,58,-0.001169466842247301,0.13385814180457,-0.0665360657582542,-0.05303344714205751,51.724137931034484,0.035152870219177984,-0.04229795345445124,0.04495722915704136
volatility_26w,raw,21,60,-0.02628181268736431,0.24127046354654585,-0.8437752499834498,-0.8986553348340411,40.0,0.06229576581650105,-0.08535025249376135,0.03435022235928252
volatility_26w,raw,63,58,-0.05210928127120496,0.2262060271273029,-1.754385008706255,-1.2527739663806068,36.206896551724135,0.05940461302691155,-0.1340047097153854,0.02549369498621096
volatility_26w,neutral,21,60,-0.014895415933735421,0.19228054434484948,-0.6000575673711961,-0.6269632547584735,41.66666666666667,0.049646623069819915,-0.06269755023701712,0.033999623207262686
volatility_26w,neutral,63,58,-0.033520297656316915,0.1757762484650652,-1.4523178394165568,-1.052783300887719,43.103448275862064,0.04616110433482399,-0.09760081970705108,0.025630333570629528
beta_52w,raw,21,60,-0.03623441051099025,0.27723216122510397,-1.0124025138249404,-1.088799170907297,48.333333333333336,0.07158103623052782,-0.10486953760926357,0.03759438327312576
beta_52w,raw,63,58,-0.06642417547663543,0.2736709496725621,-1.848466012850114,-1.3152926338964912,39.6551724137931,0.07186951235767357,-0.16302435562750303,0.03049556370560345
beta_52w,neutral,21,60,-0.02291006862903586,0.20632178684995178,-0.8601157988734781,-0.9020167398518543,48.333333333333336,0.05327205629530798,-0.0748269069223707,0.03124323439619416
beta_52w,neutral,63,58,-0.04566776643290496,0.19786299555593687,-1.7577584248504348,-1.24041349567313,43.103448275862064,0.05196136828277841,-0.11974616456938451,0.02500598421639841
ep,raw,21,60,0.023985020524511513,0.1060298230642758,1.7522161664565568,1.9225437417164457,55.00000000000001,0.02737678259528395,-0.00046387326599109434,0.04874232710626536
ep,raw,63,58,0.03140215967163378,0.09920828311508975,2.410602376979321,1.8132187914632487,60.3448275862069,0.026053371531959756,-0.0020690920460987206,0.0645547715127626
ep,neutral,21,60,0.011662065053060368,0.09113738635776397,0.9911845300365596,0.8632092349898609,48.333333333333336,0.023531571972032726,-0.014075893616460137,0.037465910782378105
ep,neutral,63,58,0.015928964823507183,0.09264333954915553,1.3094452606898066,0.8620899289224923,56.896551724137936,0.02432933288882334,-0.018024625096687286,0.04915523750164281
bp,raw,21,60,0.008190493974083581,0.14295193723727478,0.4438085607218547,0.49784524645489986,48.333333333333336,0.036910031481870206,-0.023939523467107607,0.03990630451717224
bp,raw,63,58,0.023441434914840173,0.1268788847819831,1.4070477518308835,0.9475234856618845,48.275862068965516,0.03332002753188387,-0.019607754157095945,0.06853857829685417
bp,neutral,21,60,0.011203599655968477,0.11697466296767883,0.7418932234432766,0.6995906564035083,53.333333333333336,0.030202728106803037,-0.017832220484823528,0.04120853600256804
